Label (Grouping),SEX AND AGE!!Total population
"Lancaster County, Virginia",
    Estimate,"10,936"
    Margin of Error,*****
    Percent,"10,936"
    Percent Margin of Error,(X)
"Lee County, Virginia",
    Estimate,"21,900"
    Margin of Error,*****
    Percent,"21,900"
    Percent Margin of Error,(X)
"Loudoun County, Virginia",
    Estimate,"432,998"
    Margin of Error,*****
    Percent,"432,998"
    Percent Margin of Error,(X)
"Louisa County, Virginia",
    Estimate,"39,980"
    Margin of Error,*****
    Percent,"39,980"
    Percent Margin of Error,(X)
"Lunenburg County, Virginia",
    Estimate,"12,016"
    Margin of Error,*****
    Percent,"12,016"
    Percent Margin of Error,(X)
"Madison County, Virginia",
    Estimate,"14,044"
    Margin of Error,*****
    Percent,"14,044"
    Percent Margin of Error,(X)
"Mathews County, Virginia",
    Estimate,"8,540"
    Margin of Error,*****
    Percent,"8,540"
    Percent Margin of Error,(X)
"Mecklenburg County, Virginia",
    Estimate,"30,516"
    Margin of Error,*****
    Percent,"30,516"
    Percent Margin of Error,(X)
"Middlesex County, Virginia",
    Estimate,"10,847"
    Margin of Error,*****
    Percent,"10,847"
    Percent Margin of Error,(X)
"Montgomery County, Virginia",
    Estimate,"99,101"
    Margin of Error,*****
    Percent,"99,101"
    Percent Margin of Error,(X)
"Nelson County, Virginia",
    Estimate,"14,732"
    Margin of Error,*****
    Percent,"14,732"
    Percent Margin of Error,(X)
"New Kent County, Virginia",
    Estimate,"25,105"
    Margin of Error,*****
    Percent,"25,105"
    Percent Margin of Error,(X)
"Northampton County, Virginia",
    Estimate,"12,059"
    Margin of Error,*****
    Percent,"12,059"
    Percent Margin of Error,(X)
"Northumberland County, Virginia",
    Estimate,"12,188"
    Margin of Error,*****
    Percent,"12,188"
    Percent Margin of Error,(X)
"Nottoway County, Virginia",
    Estimate,"15,597"
    Margin of Error,*****
    Percent,"15,597"
    Percent Margin of Error,(X)
"Orange County, Virginia",
    Estimate,"37,822"
    Margin of Error,*****
    Percent,"37,822"
    Percent Margin of Error,(X)
"Page County, Virginia",
    Estimate,"23,727"
    Margin of Error,*****
    Percent,"23,727"
    Percent Margin of Error,(X)
"Patrick County, Virginia",
    Estimate,"17,512"
    Margin of Error,*****
    Percent,"17,512"
    Percent Margin of Error,(X)
"Pittsylvania County, Virginia",
    Estimate,"59,856"
    Margin of Error,*****
    Percent,"59,856"
    Percent Margin of Error,(X)
"Powhatan County, Virginia",
    Estimate,"31,555"
    Margin of Error,*****
    Percent,"31,555"
    Percent Margin of Error,(X)
"Prince Edward County, Virginia",
    Estimate,"21,996"
    Margin of Error,*****
    Percent,"21,996"
    Percent Margin of Error,(X)
"Prince George County, Virginia",
    Estimate,"43,146"
    Margin of Error,*****
    Percent,"43,146"
    Percent Margin of Error,(X)
"Prince William County, Virginia",
    Estimate,"488,880"
    Margin of Error,*****
    Percent,"488,880"
    Percent Margin of Error,(X)
"Pulaski County, Virginia",
    Estimate,"33,687"
    Margin of Error,*****
    Percent,"33,687"
    Percent Margin of Error,(X)
"Rappahannock County, Virginia",
    Estimate,"7,427"
    Margin of Error,*****
    Percent,"7,427"
    Percent Margin of Error,(X)
"Richmond County, Virginia",
    Estimate,"9,095"
    Margin of Error,*****
    Percent,"9,095"
    Percent Margin of Error,(X)
"Roanoke County, Virginia",
    Estimate,"97,023"
    Margin of Error,*****
    Percent,"97,023"
    Percent Margin of Error,(X)
"Rockbridge County, Virginia",
    Estimate,"22,531"
    Margin of Error,*****
    Percent,"22,531"
    Percent Margin of Error,(X)
"Rockingham County, Virginia",
    Estimate,"85,600"
    Margin of Error,*****
    Percent,"85,600"
    Percent Margin of Error,(X)
"Russell County, Virginia",
    Estimate,"25,538"
    Margin of Error,*****
    Percent,"25,538"
    Percent Margin of Error,(X)
"Scott County, Virginia",
    Estimate,"21,479"
    Margin of Error,*****
    Percent,"21,479"
    Percent Margin of Error,(X)
"Shenandoah County, Virginia",
    Estimate,"44,925"
    Margin of Error,*****
    Percent,"44,925"
    Percent Margin of Error,(X)
"Smyth County, Virginia",
    Estimate,"29,420"
    Margin of Error,*****
    Percent,"29,420"
    Percent Margin of Error,(X)
"Southampton County, Virginia",
    Estimate,"17,964"
    Margin of Error,*****
    Percent,"17,964"
    Percent Margin of Error,(X)
"Spotsylvania County, Virginia",
    Estimate,"146,603"
    Margin of Error,*****
    Percent,"146,603"
    Percent Margin of Error,(X)
"Stafford County, Virginia",
    Estimate,"163,466"
    Margin of Error,*****
    Percent,"163,466"
    Percent Margin of Error,(X)
"Surry County, Virginia",
    Estimate,"6,549"
    Margin of Error,*****
    Percent,"6,549"
    Percent Margin of Error,(X)
"Sussex County, Virginia",
    Estimate,"10,765"
    Margin of Error,*****
    Percent,"10,765"
    Percent Margin of Error,(X)
"Tazewell County, Virginia",
    Estimate,"39,624"
    Margin of Error,*****
    Percent,"39,624"
    Percent Margin of Error,(X)
"Warren County, Virginia",
    Estimate,"41,531"
    Margin of Error,*****
    Percent,"41,531"
    Percent Margin of Error,(X)
"Washington County, Virginia",
    Estimate,"53,926"
    Margin of Error,*****
    Percent,"53,926"
    Percent Margin of Error,(X)
"Westmoreland County, Virginia",
    Estimate,"18,826"
    Margin of Error,*****
    Percent,"18,826"
    Percent Margin of Error,(X)
"Wise County, Virginia",
    Estimate,"35,448"
    Margin of Error,*****
    Percent,"35,448"
    Percent Margin of Error,(X)
"Wythe County, Virginia",
    Estimate,"28,188"
    Margin of Error,*****
    Percent,"28,188"
    Percent Margin of Error,(X)
"York County, Virginia",
    Estimate,"71,005"
    Margin of Error,*****
    Percent,"71,005"
    Percent Margin of Error,(X)
"Alexandria city, Virginia",
    Estimate,"156,976"
    Margin of Error,*****
    Percent,"156,976"
    Percent Margin of Error,(X)
"Bristol city, Virginia",
    Estimate,"16,849"
    Margin of Error,*****
    Percent,"16,849"
    Percent Margin of Error,(X)
"Buena Vista city, Virginia",
    Estimate,"6,593"
    Margin of Error,*****
    Percent,"6,593"
    Percent Margin of Error,(X)
"Charlottesville city, Virginia",
    Estimate,"45,437"
    Margin of Error,*****
    Percent,"45,437"
    Percent Margin of Error,(X)
"Chesapeake city, Virginia",
    Estimate,"252,583"
    Margin of Error,*****
    Percent,"252,583"
    Percent Margin of Error,(X)
"Colonial Heights city, Virginia",
    Estimate,"18,352"
    Margin of Error,*****
    Percent,"18,352"
    Percent Margin of Error,(X)
"Covington city, Virginia",
    Estimate,"5,680"
    Margin of Error,*****
    Percent,"5,680"
    Percent Margin of Error,(X)
"Danville city, Virginia",
    Estimate,"42,214"
    Margin of Error,*****
    Percent,"42,214"
    Percent Margin of Error,(X)
"Emporia city, Virginia",
    Estimate,"5,547"
    Margin of Error,*****
    Percent,"5,547"
    Percent Margin of Error,(X)
"Fairfax city, Virginia",
    Estimate,"25,026"
    Margin of Error,*****
    Percent,"25,026"
    Percent Margin of Error,(X)
"Falls Church city, Virginia",
    Estimate,"14,710"
    Margin of Error,*****
    Percent,"14,710"
    Percent Margin of Error,(X)
"Franklin city, Virginia",
    Estimate,"8,250"
    Margin of Error,*****
    Percent,"8,250"
    Percent Margin of Error,(X)
"Fredericksburg city, Virginia",
    Estimate,"28,873"
    Margin of Error,*****
    Percent,"28,873"
    Percent Margin of Error,(X)
"Galax city, Virginia",
    Estimate,"6,726"
    Margin of Error,*****
    Percent,"6,726"
    Percent Margin of Error,(X)
"Hampton city, Virginia",
    Estimate,"137,557"
    Margin of Error,*****
    Percent,"137,557"
    Percent Margin of Error,(X)
"Harrisonburg city, Virginia",
    Estimate,"51,392"
    Margin of Error,*****
    Percent,"51,392"
    Percent Margin of Error,(X)
"Hopewell city, Virginia",
    Estimate,"22,959"
    Margin of Error,*****
    Percent,"22,959"
    Percent Margin of Error,(X)
"Lexington city, Virginia",
    Estimate,"7,525"
    Margin of Error,*****
    Percent,"7,525"
    Percent Margin of Error,(X)
"Lynchburg city, Virginia",
    Estimate,"79,497"
    Margin of Error,*****
    Percent,"79,497"
    Percent Margin of Error,(X)
"Manassas city, Virginia",
    Estimate,"42,976"
    Margin of Error,*****
    Percent,"42,976"
    Percent Margin of Error,(X)
"Manassas Park city, Virginia",
    Estimate,"16,798"
    Margin of Error,*****
    Percent,"16,798"
    Percent Margin of Error,(X)
"Martinsville city, Virginia",
    Estimate,"13,658"
    Margin of Error,*****
    Percent,"13,658"
    Percent Margin of Error,(X)
"Newport News city, Virginia",
    Estimate,"184,216"
    Margin of Error,*****
    Percent,"184,216"
    Percent Margin of Error,(X)
"Norfolk city, Virginia",
    Estimate,"233,596"
    Margin of Error,*****
    Percent,"233,596"
    Percent Margin of Error,(X)
"Norton city, Virginia",
    Estimate,"3,577"
    Margin of Error,*****
    Percent,"3,577"
    Percent Margin of Error,(X)
"Petersburg city, Virginia",
    Estimate,"33,537"
    Margin of Error,*****
    Percent,"33,537"
    Percent Margin of Error,(X)
"Poquoson city, Virginia",
    Estimate,"12,639"
    Margin of Error,*****
    Percent,"12,639"
    Percent Margin of Error,(X)
"Portsmouth city, Virginia",
    Estimate,"97,190"
    Margin of Error,*****
    Percent,"97,190"
    Percent Margin of Error,(X)
"Radford city, Virginia",
    Estimate,"16,726"
    Margin of Error,*****
    Percent,"16,726"
    Percent Margin of Error,(X)
"Richmond city, Virginia",
    Estimate,"229,359"
    Margin of Error,*****
    Percent,"229,359"
    Percent Margin of Error,(X)
"Roanoke city, Virginia",
    Estimate,"98,355"
    Margin of Error,*****
    Percent,"98,355"
    Percent Margin of Error,(X)
"Salem city, Virginia",
    Estimate,"25,618"
    Margin of Error,*****
    Percent,"25,618"
    Percent Margin of Error,(X)
"Staunton city, Virginia",
    Estimate,"25,948"
    Margin of Error,*****
    Percent,"25,948"
    Percent Margin of Error,(X)
"Suffolk city, Virginia",
    Estimate,"98,796"
    Margin of Error,*****
    Percent,"98,796"
    Percent Margin of Error,(X)
"Virginia Beach city, Virginia",
    Estimate,"456,349"
    Margin of Error,*****
    Percent,"456,349"
    Percent Margin of Error,(X)
"Waynesboro city, Virginia",
    Estimate,"22,841"
    Margin of Error,*****
    Percent,"22,841"
    Percent Margin of Error,(X)
"Williamsburg city, Virginia",
    Estimate,"15,798"
    Margin of Error,*****
    Percent,"15,798"
    Percent Margin of Error,(X)
"Winchester city, Virginia",
    Estimate,"27,913"
    Margin of Error,*****
    Percent,"27,913"
    Percent Margin of Error,(X)
